gradeId,artist,title,hasChords,hasTabs,url,youtubeViews,youtubeDuration,originalArtist
1,John Lennon,Give Peace A Chance,yes,True,https://justinguitar.com/songs/john-lennon-give-peace-a-chance-chords-tabs-guitar-lesson-sg-039,29282,08:03,John Lennon
5,Chuck Berry,Johnny B. Goode,yes,True,https://justinguitar.com/songs/chuck-berry-johnny-b-goode-chords-tabs-guitar-lesson-sb-425,1371147,18:21,Chuck Berry
1,Chuck Berry,You Never Can Tell,yes,True,https://justinguitar.com/songs/chuck-berry-you-never-can-tell-chords-tabs-guitar-lesson-sg-079,32451,09:02,Chuck Berry
7,Guns N' Roses,Sweet Child O Mine [MAIN SOLO Pt 1/2],yes,True,https://justinguitar.com/songs/guns-n-roses-sweet-child-o-mine-main-solo-pt-1-2-chords-tabs-guitar-lesson-cs-012,288245,14:55,Guns N' Roses
4,Guns N' Roses,Patience [2/3],yes,True,https://justinguitar.com/songs/guns-n-roses-patience-2-3-chords-tabs-guitar-lesson-st-6212,339496,07:56,Guns N' Roses
2,Guns N' Roses,Sweet Child 'O Mine [BEGINNER'S],yes,True,https://justinguitar.com/songs/guns-n-roses-sweet-child-o-mine-beginner-s-chords-tabs-guitar-lesson-st-377,266295,20:27,Guns N' Roses
3,Guns N' Roses,Patience [1/3],yes,True,https://justinguitar.com/songs/guns-n-roses-patience-1-3-chords-tabs-guitar-lesson-st-621,1350482,09:55,Guns N' Roses
3,Guns N' Roses,I Used to Love Her,yes,True,https://justinguitar.com/songs/guns-n-roses-i-used-to-love-her-chords-tabs-guitar-lesson-sg-064,60449,16:01,Guns N' Roses
4,Guns N' Roses,Sweet Child 'O Mine [INTRO],yes,True,https://justinguitar.com/songs/guns-n-roses-sweet-child-o-mine-intro-chords-tabs-guitar-lesson-st-376,587243,11:33,Guns N' Roses
5,Guns N' Roses,Sweet Child 'O Mine [CHORUS RIFF],yes,True,https://justinguitar.com/songs/guns-n-roses-sweet-child-o-mine-chorus-riff-chords-tabs-guitar-lesson-st-378,85989,08:25,Guns N' Roses
4,Guns N' Roses,Sweet Child O Mine [SOLO 1],yes,True,https://justinguitar.com/songs/guns-n-roses-sweet-child-o-mine-solo-1-chords-tabs-guitar-lesson-cs-010,212204,11:24,Guns N' Roses
6,Guns N' Roses,Sweet Child O Mine [SOLO 2],yes,True,https://justinguitar.com/songs/guns-n-roses-sweet-child-o-mine-solo-2-chords-tabs-guitar-lesson-cs-011,98177,14:16,Guns N' Roses
5,Guns N' Roses,I Used to Love Her [Solo],yes,True,https://justinguitar.com/songs/guns-n-roses-i-used-to-love-her-solo-chords-tabs-guitar-lesson-sg-068,43114,17:04,Guns N' Roses
4,Guns N' Roses,Patience [3/3],yes,True,https://justinguitar.com/songs/guns-n-roses-patience-3-3-chords-tabs-guitar-lesson-st-6213,453330,10:00,Guns N' Roses
7,Guns N' Roses,Sweet Child O Mine [MAIN SOLO Pt 2/2],yes,True,https://justinguitar.com/songs/guns-n-roses-sweet-child-o-mine-main-solo-pt-2-2-chords-tabs-guitar-lesson-cs-0122,118446,17:22,Guns N' Roses
2,Jeff Beck,Hi Ho Silver Lining,yes,False,https://justinguitar.com/songs/jeff-beck-hi-ho-silver-lining-chords-tabs-guitar-lesson-st-104,96694,06:45,Jeff Beck
2,Emma Bunton,What Took You So Long,yes,False,https://justinguitar.com/songs/emma-bunton-what-took-you-so-long-chords-tabs-guitar-lesson-sb-210,41068,11:09,Emma Bunton
8,Eric Johnson,Song for George,yes,True,https://justinguitar.com/songs/eric-johnson-song-for-george-chords-tabs-guitar-lesson-sg-051,34470,43:10,Eric Johnson
5,Muse,Hysteria,yes,True,https://justinguitar.com/songs/muse-hysteria-chords-tabs-guitar-lesson-st-326,1236931,09:55,Muse
2,Steve Earle,Copperhead Road,yes,False,https://justinguitar.com/songs/steve-earle-copperhead-road-chords-tabs-guitar-lesson-sg-023,71936,17:38,Steve Earle
3,Rick Springfield,Jessie's Girl,yes,False,https://justinguitar.com/songs/rick-springfield-jessie-s-girl-chords-tabs-guitar-lesson-bs-826,230315,14:46,Rick Springfield
1,Buffalo Springfield,For What It's Worth,yes,True,https://justinguitar.com/songs/buffalo-springfield-for-what-it-s-worth-chords-tabs-guitar-lesson-bs-122,472878,08:31,Buffalo Springfield
3,Damien Rice,The Blower's Daughter,yes,False,https://justinguitar.com/songs/damien-rice-the-blower-s-daughter-chords-tabs-guitar-lesson-st-618,531707,10:00,Damien Rice
2,Roberta Flack,Killing Me Softly With His Song,yes,False,https://justinguitar.com/songs/roberta-flack-killing-me-softly-with-his-song-chords-tabs-guitar-lesson-bs-401,517154,11:41,Roberta Flack
